value	comparisons	files	per_file	examples
"tax"	7	2	optimizer_ui.js=3 taxPaymentPlanner.js=4	optimizer_ui.js:2312 optimizer_ui.js:4681 optimizer_ui.js:4718 taxPaymentPlanner.js:1737 taxPaymentPlanner.js:2210 taxPaymentPlanner.js:2357
"plan"	7	1	montecarlo/mc_tab.js=7	montecarlo/mc_tab.js:646 montecarlo/mc_tab.js:654 montecarlo/mc_tab.js:672 montecarlo/mc_tab.js:1192 montecarlo/mc_tab.js:1794 montecarlo/mc_tab.js:2010
"rails"	7	2	montecarlo/mc_controller.js=6 montecarlo/worker.js=1	montecarlo/mc_controller.js:11 montecarlo/mc_controller.js:49 montecarlo/mc_controller.js:192 montecarlo/mc_controller.js:193 montecarlo/mc_controller.js:203 montecarlo/mc_controller.js:217
"rates"	7	1	standalone/IncomeTaxPlanner.html=7	standalone/IncomeTaxPlanner.html:654 standalone/IncomeTaxPlanner.html:658 standalone/IncomeTaxPlanner.html:663 standalone/IncomeTaxPlanner.html:671 standalone/IncomeTaxPlanner.html:791 standalone/IncomeTaxPlanner.html:897
"custom"	6	2	optimizer_core.js=2 optimizer_ui.js=4	optimizer_core.js:134 optimizer_core.js:6164 optimizer_ui.js:860 optimizer_ui.js:6832 optimizer_ui.js:7016 optimizer_ui.js:7187
"spend"	6	3	optimizer_core.js=1 optimizer_ui.js=4 taxPaymentPlanner.js=1	optimizer_core.js:6445 optimizer_ui.js:2207 optimizer_ui.js:2231 optimizer_ui.js:2314 optimizer_ui.js:5672 taxPaymentPlanner.js:1738
"spouse"	6	2	optimizer_ui.js=4 Retirement_Projection.html=2	optimizer_ui.js:5894 optimizer_ui.js:5895 optimizer_ui.js:5896 optimizer_ui.js:5897 Retirement_Projection.html:1536 Retirement_Projection.html:2335
"checkbox"	6	2	optimizer_ui.js=5 montecarlo/mc_tab.js=1	optimizer_ui.js:6312 optimizer_ui.js:6788 optimizer_ui.js:7142 optimizer_ui.js:7158 optimizer_ui.js:7310 montecarlo/mc_tab.js:1784
"early"	6	1	optimizer_ui.js=6	optimizer_ui.js:7279 optimizer_ui.js:7283 optimizer_ui.js:7284 optimizer_ui.js:8052 optimizer_ui.js:8053 optimizer_ui.js:8060
"state"	6	1	Retirement_Projection.html=6	Retirement_Projection.html:1420 Retirement_Projection.html:1423 Retirement_Projection.html:1509 Retirement_Projection.html:1559 Retirement_Projection.html:1608 Retirement_Projection.html:1840
"schedule"	5	1	optimizer_core.js=5	optimizer_core.js:1991 optimizer_core.js:2222 optimizer_core.js:2703 optimizer_core.js:2941 optimizer_core.js:3735
"fillCashThenRoth"	5	3	optimizer_core.js=3 optimizer_ui.js=1 montecarlo/mc_tab.js=1	optimizer_core.js:3231 optimizer_core.js:3241 optimizer_core.js:6150 optimizer_ui.js:2734 montecarlo/mc_tab.js:1863
